call_id,arm,final_disposition,claims_already_paid,debtor_state_at_close,difficulty_response
8fca519b0739,ia,sin_cierre,0,evasivo,reconoce_y_ofrece
b140987595b2,ia,,0,,reconoce_y_ofrece
5c1be5f0a476,ia,sin_cierre,0,cooperativo,reconoce_y_ofrece
1eb58a28f8b5,ia,,0,evasivo,no_aplica
79ce2048cb44,ia,sin_cierre,0,cooperativo,insiste_o_presiona
1ed21ce40541,ia,no_aplica,0,cooperativo,no_aplica
d4ae8d7645a7,ia,rechazo_o_disputa,0,evasivo,no_aplica
bd282fa7b48e,ia,acepta_total,0,cooperativo,no_aplica
dd766066e84e,ia,no_aplica,0,molesto,no_aplica
eda18e254640,ia,no_aplica,0,,no_aplica
5bcc2bf1208a,ia,acepta_total,0,cooperativo,no_aplica
470b340261b9,ia,,0,,no_aplica
1c52e0411841,ia,no_aplica,0,cooperativo,no_aplica
80f48930eba6,ia,,0,angustiado,reconoce_y_ofrece
e804a2ab1bca,ia,rechazo_o_disputa,0,molesto,no_aplica
ab4155efcc56,ia,no_aplica,0,,no_aplica
042d99e0a68a,ia,acepta_parcial,0,cooperativo,reconoce_y_ofrece
7807fabcf2db,ia,no_aplica,0,molesto,no_aplica
a4400d9d18d3,ia,rechazo_o_disputa,0,molesto,reconoce_y_ofrece
1dbf493ff360,ia,,0,,no_aplica
aae0752ee41e,ia,no_aplica,0,,no_aplica
e5ce9e5ed58d,ia,rechazo_o_disputa,0,,no_aplica
0ac10220d575,ia,sin_cierre,0,angustiado,reconoce_y_ofrece
d354f0ee2979,ia,sin_cierre,0,molesto,reconoce_y_ofrece
6f2b30e32ca2,ia,sin_cierre,0,cooperativo,reconoce_y_ofrece
d9491cae2095,ia,,0,evasivo,no_aplica
1d314669f3da,ia,no_aplica,0,,no_aplica
a0bb04448b22,ia,sin_cierre,0,evasivo,reconoce_y_ofrece
0d8ad09bcedc,ia,no_aplica,0,,no_aplica
28f50db3a262,ia,acepta_total,0,evasivo,no_aplica
26e2737eac9a,ia,no_aplica,0,evasivo,no_aplica
46cde4dc00e1,ia,,0,,no_aplica
f0608077150d,ia,,0,,no_aplica
abca5a582c7f,ia,no_aplica,0,molesto,no_aplica
b66423c42b43,ia,acepta_total,0,cooperativo,reconoce_y_ofrece
975a47c84d62,ia,no_aplica,0,evasivo,no_aplica
