call_id,arm,duration_s
85628d6c1d98,humano,309.5
6cb8e56b159a,humano,87.2
318b890bdd77,humano,105.6
5a9a24c5ec31,humano,141.5
97c3dcf9bb38,humano,594.7
0403a6fb55fe,humano,224.6
6987e6d7d3e9,humano,160.8
db6af137ea52,humano,143.7
4a9b61287a50,humano,626.2
150d02a7c771,humano,202.7
c782aed56817,humano,578.9
1c09ceda85ff,humano,123.4
443b280c18d0,humano,132.6
97e516a7fc91,humano,76.0
f2ff42d64ffc,humano,74.6
fb033bba93fc,humano,299.5
80ffea2fa6cb,humano,201.9
1ea5f30bd3c5,humano,116.4
2d389f70e207,humano,166.7
271929a77300,humano,243.4
99a823774d2f,humano,137.8
3b31e33f03e3,humano,395.2
ea6ed6c3b943,humano,160.8
14406d5176d9,humano,177.6
ea266c6b95dc,humano,294.5
b82d9211239b,humano,145.2
4b38a8cafdd7,humano,118.3
2e053d0ec6fc,humano,643.5
3eb0575980b9,humano,283.2
716db033fad9,humano,129.9
8cec517be5dd,humano,186.0
bd379d16ff03,humano,81.6
dd4656e5387e,humano,176.6
d8d8659eae50,humano,175.5
071c1ae657bf,humano,152.9
4fb3ce4b68a6,humano,135.2
67c0d6ae1450,humano,350.7
b6e22b338efd,humano,308.6
a1cf7aac72c5,humano,285.6
0c25eda1ed56,humano,105.5
4cf81c926524,humano,88.4
f5fb2c3cd60c,humano,109.8
cc57a1380342,humano,1233.2
c66b11ee9b07,humano,304.2
3a06da8b8340,humano,208.4
7791622d2f63,humano,126.5
bdaf4ab14374,humano,152.4
e47a7d8f10d8,humano,209.6
4a40f3181631,humano,276.5
2d7aab3c042c,humano,141.1
8fca519b0739,ia,141.9
b140987595b2,ia,83.4
5c1be5f0a476,ia,472.5
1eb58a28f8b5,ia,92.1
79ce2048cb44,ia,434.5
1ed21ce40541,ia,67.2
d4ae8d7645a7,ia,90.8
bd282fa7b48e,ia,222.9
dd766066e84e,ia,201.4
eda18e254640,ia,66.6
5bcc2bf1208a,ia,185.1
470b340261b9,ia,295.6
1c52e0411841,ia,314.2
80f48930eba6,ia,107.3
e804a2ab1bca,ia,156.1
ab4155efcc56,ia,100.4
042d99e0a68a,ia,439.7
7807fabcf2db,ia,104.5
a4400d9d18d3,ia,297.7
1dbf493ff360,ia,239.4
aae0752ee41e,ia,99.4
e5ce9e5ed58d,ia,94.4
0ac10220d575,ia,344.7
d354f0ee2979,ia,403.4
6f2b30e32ca2,ia,454.1
d9491cae2095,ia,112.8
1d314669f3da,ia,68.6
a0bb04448b22,ia,561.6
0d8ad09bcedc,ia,60.3
28f50db3a262,ia,320.0
26e2737eac9a,ia,118.7
46cde4dc00e1,ia,131.1
f0608077150d,ia,87.5
abca5a582c7f,ia,90.7
b66423c42b43,ia,272.2
975a47c84d62,ia,88.0
aa7a0f52b8b2,ia,533.7
71007f917994,ia,255.5
00050a5a5674,ia,485.0
75f211ed7620,ia,99.9
7d38ddfa56fc,ia,104.5
cbfa02e73a1f,ia,114.3
2829a637135c,ia,263.7
b02b6342e729,ia,166.0
0a466183129e,ia,68.1
f163e6bb1b81,ia,313.7
81b4d8c10e1a,ia,461.2
5dd89c66b541,ia,107.4
29fb228a19fd,ia,486.1
063cb19206a3,ia,85.2
