call_id,arm,legal_department_framing,offer_expiry_claim,situational_legal_pressure,credit_benefit_promised,confidentiality_gate,qualified_payment_commitment,quantified_proposal_stated,installment_or_partial_offer
85628d6c1d98,humano,0,0,0,0,0,1,1,1
6cb8e56b159a,humano,0,0,0,0,0,1,1,0
318b890bdd77,humano,0,0,0,0,0,0,0,0
5a9a24c5ec31,humano,0,0,0,0,0,0,0,0
97c3dcf9bb38,humano,0,0,0,0,0,1,1,1
0403a6fb55fe,humano,0,0,0,1,0,1,1,1
6987e6d7d3e9,humano,0,1,0,1,0,1,1,0
db6af137ea52,humano,0,0,0,0,1,1,1,1
4a9b61287a50,humano,0,0,0,1,0,1,1,1
150d02a7c771,humano,0,0,0,0,0,1,1,1
c782aed56817,humano,0,1,0,1,0,0,1,1
1c09ceda85ff,humano,0,0,0,0,0,0,1,0
443b280c18d0,humano,0,0,1,1,0,0,0,0
97e516a7fc91,humano,0,0,0,0,0,1,0,0
f2ff42d64ffc,humano,0,0,0,0,0,0,1,0
fb033bba93fc,humano,1,0,0,1,0,0,0,1
80ffea2fa6cb,humano,0,0,0,1,0,0,0,0
1ea5f30bd3c5,humano,0,0,0,0,0,0,0,0
2d389f70e207,humano,0,0,0,0,0,1,1,1
271929a77300,humano,0,0,0,0,0,0,0,1
99a823774d2f,humano,0,0,0,0,0,0,1,0
3b31e33f03e3,humano,0,0,0,1,0,0,0,1
ea6ed6c3b943,humano,0,0,0,0,0,0,0,0
14406d5176d9,humano,0,0,0,1,0,0,0,0
ea266c6b95dc,humano,0,0,0,1,0,0,1,1
b82d9211239b,humano,0,0,0,1,0,1,1,0
4b38a8cafdd7,humano,0,0,0,0,0,1,1,1
2e053d0ec6fc,humano,0,0,1,0,0,0,0,1
3eb0575980b9,humano,0,0,0,1,0,1,1,1
716db033fad9,humano,0,0,0,0,0,0,0,0
8cec517be5dd,humano,0,0,0,1,0,0,1,1
bd379d16ff03,humano,0,0,0,1,0,0,0,0
dd4656e5387e,humano,0,0,0,1,0,0,0,0
d8d8659eae50,humano,0,0,0,0,0,1,1,0
071c1ae657bf,humano,0,0,0,0,0,1,0,0
4fb3ce4b68a6,humano,0,0,0,0,0,1,1,0
67c0d6ae1450,humano,0,0,0,1,0,0,1,0
b6e22b338efd,humano,0,0,0,1,0,1,1,0
a1cf7aac72c5,humano,0,0,0,1,0,1,1,1
0c25eda1ed56,humano,0,0,0,0,0,0,0,0
4cf81c926524,humano,0,0,0,0,0,1,1,0
f5fb2c3cd60c,humano,0,0,0,0,0,0,0,0
cc57a1380342,humano,0,0,0,1,0,1,1,1
c66b11ee9b07,humano,0,0,0,1,0,1,1,1
3a06da8b8340,humano,0,0,0,1,0,1,1,0
7791622d2f63,humano,0,0,0,0,0,0,0,1
bdaf4ab14374,humano,0,0,0,1,0,1,1,0
e47a7d8f10d8,humano,0,0,0,0,0,1,1,1
4a40f3181631,humano,0,0,0,1,0,0,0,1
2d7aab3c042c,humano,0,0,0,0,0,1,0,0
8fca519b0739,ia,1,1,1,0,0,0,1,0
b140987595b2,ia,1,1,0,0,1,0,1,1
5c1be5f0a476,ia,1,1,1,1,0,0,1,1
1eb58a28f8b5,ia,1,0,1,0,0,0,0,1
79ce2048cb44,ia,1,1,0,0,0,0,1,0
1ed21ce40541,ia,1,0,0,0,1,0,0,0
d4ae8d7645a7,ia,1,1,0,0,0,0,1,0
bd282fa7b48e,ia,1,1,0,0,1,1,1,0
dd766066e84e,ia,1,0,0,0,0,0,0,0
eda18e254640,ia,1,0,0,0,0,0,0,0
5bcc2bf1208a,ia,1,0,0,0,0,1,1,0
470b340261b9,ia,0,1,0,0,0,0,1,1
1c52e0411841,ia,1,0,1,0,1,0,1,0
80f48930eba6,ia,1,0,1,0,1,0,0,0
e804a2ab1bca,ia,1,0,0,0,0,0,0,0
ab4155efcc56,ia,0,0,0,0,0,0,0,0
042d99e0a68a,ia,1,1,1,0,0,1,1,1
7807fabcf2db,ia,1,0,1,0,0,0,0,0
a4400d9d18d3,ia,1,0,0,0,0,0,1,0
1dbf493ff360,ia,0,1,0,0,0,0,0,1
aae0752ee41e,ia,0,0,0,0,1,0,0,0
e5ce9e5ed58d,ia,1,1,1,0,0,0,1,1
0ac10220d575,ia,1,1,1,1,1,0,1,1
d354f0ee2979,ia,1,1,1,0,0,0,1,1
6f2b30e32ca2,ia,1,1,1,0,0,0,1,1
d9491cae2095,ia,1,1,0,0,1,0,1,0
1d314669f3da,ia,1,0,0,0,1,0,0,0
a0bb04448b22,ia,1,1,1,1,0,0,1,1
0d8ad09bcedc,ia,1,0,0,0,0,0,0,0
28f50db3a262,ia,1,0,0,0,0,1,1,1
26e2737eac9a,ia,1,0,0,0,0,0,0,0
46cde4dc00e1,ia,1,1,1,0,1,0,0,1
f0608077150d,ia,1,1,1,0,0,0,0,1
abca5a582c7f,ia,0,0,0,0,1,0,0,0
b66423c42b43,ia,1,1,1,0,0,1,1,1
975a47c84d62,ia,0,0,0,0,0,0,0,0
aa7a0f52b8b2,ia,1,1,1,0,0,1,1,1
71007f917994,ia,1,1,1,0,0,0,1,1
00050a5a5674,ia,1,1,1,0,0,1,1,1
75f211ed7620,ia,0,0,0,0,0,0,0,0
7d38ddfa56fc,ia,1,1,0,0,0,0,1,1
cbfa02e73a1f,ia,1,0,0,0,0,0,0,0
2829a637135c,ia,1,1,1,0,1,1,1,0
b02b6342e729,ia,1,1,0,0,0,0,1,1
0a466183129e,ia,0,0,0,0,0,0,0,0
f163e6bb1b81,ia,1,1,1,0,0,1,1,1
81b4d8c10e1a,ia,1,1,0,0,0,1,1,1
5dd89c66b541,ia,0,0,0,0,1,0,0,0
29fb228a19fd,ia,1,1,1,0,0,1,1,1
063cb19206a3,ia,1,0,0,0,1,0,0,0
